participant,N,fit_frac,acc_mean,acc_se,n_repeats,logistic_matched
32FC87F1C127480BA90BCC97640655_cleaned.json,12,0.1,0.8119266055045872,0.0,2,0.7935779816513762
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,1,1.0,0.715780998389694,0.01405754983232184,6,0.7342995169082126
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,1,0.25,0.6731078904991948,0.016049292955154112,6,0.6183574879227053
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,1,0.1,0.6594202898550724,0.024040255437735292,6,0.6618357487922706
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,2,1.0,0.6916264090177133,0.016319665044855977,6,0.7342995169082126
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,2,0.25,0.681159420289855,0.023112238477306483,6,0.6183574879227053
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,2,0.1,0.6811594202898551,0.017895419300235815,6,0.6618357487922706
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,4,1.0,0.714975845410628,0.007722756076187949,6,0.7342995169082126
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,4,0.25,0.6658615136876006,0.029984067022377273,6,0.6183574879227053
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,4,0.1,0.6714975845410628,0.026312616164844115,6,0.6618357487922706
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,6,1.0,0.7278582930756844,0.0033521191617812123,6,0.7342995169082126
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,6,0.25,0.7326892109500805,0.0051764094261905315,6,0.6183574879227053
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,6,0.1,0.7286634460547504,0.0033034175053921503,6,0.6618357487922706
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,8,1.0,0.7286634460547504,0.006483023257746198,6,0.7342995169082126
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,8,0.25,0.7214170692431562,0.005880005985025936,6,0.6183574879227053
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,8,0.1,0.7254428341384863,0.008628044769553669,6,0.6618357487922706
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,12,1.0,0.7222222222222222,0.001707987394170412,2,0.7342995169082126
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,12,0.25,0.7246376811594203,0.0,2,0.6183574879227053
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,12,0.1,0.7318840579710144,0.008539936970852022,2,0.6618357487922706
