participant,N,fit_frac,acc_mean,acc_se,n_repeats,logistic_matched
32FC87F1C127480BA90BCC97640655_cleaned.json,2,0.25,0.7729357798165137,0.004865413632017539,2,0.8211009174311926
32FC87F1C127480BA90BCC97640655_cleaned.json,2,0.1,0.7545871559633027,0.004865413632017539,2,0.7935779816513762
32FC87F1C127480BA90BCC97640655_cleaned.json,4,1.0,0.8188073394495412,0.0016218045440058331,2,0.8256880733944955
32FC87F1C127480BA90BCC97640655_cleaned.json,4,0.25,0.7752293577981652,0.0032436090880116663,2,0.8211009174311926
32FC87F1C127480BA90BCC97640655_cleaned.json,4,0.1,0.7018348623853211,0.01621804544005841,2,0.7935779816513762
32FC87F1C127480BA90BCC97640655_cleaned.json,6,1.0,0.8371559633027523,0.0016218045440058331,2,0.8256880733944955
32FC87F1C127480BA90BCC97640655_cleaned.json,6,0.25,0.7958715596330275,0.004865413632017499,2,0.8211009174311926
32FC87F1C127480BA90BCC97640655_cleaned.json,6,0.1,0.7821100917431193,0.008109022720029205,2,0.7935779816513762
32FC87F1C127480BA90BCC97640655_cleaned.json,8,1.0,0.8440366972477065,0.0,2,0.8256880733944955
32FC87F1C127480BA90BCC97640655_cleaned.json,8,0.25,0.8188073394495412,0.0016218045440058331,2,0.8211009174311926
32FC87F1C127480BA90BCC97640655_cleaned.json,8,0.1,0.8119266055045872,0.0032436090880116663,2,0.7935779816513762
32FC87F1C127480BA90BCC97640655_cleaned.json,12,1.0,0.8532110091743119,0.0,1,0.8256880733944955
32FC87F1C127480BA90BCC97640655_cleaned.json,12,0.25,0.7844036697247706,0.0,1,0.8211009174311926
32FC87F1C127480BA90BCC97640655_cleaned.json,12,0.1,0.7293577981651376,0.0,1,0.7935779816513762
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,1,1.0,0.7463768115942029,0.001707987394170412,2,0.7342995169082126
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,1,0.25,0.6352657004830917,0.011955911759192845,2,0.6183574879227053
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,1,0.1,0.6473429951690821,0.04440767224843052,2,0.6618357487922706
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,2,1.0,0.7415458937198067,0.001707987394170412,2,0.7342995169082126
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,2,0.25,0.6666666666666667,0.023911823518385653,2,0.6183574879227053
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,2,0.1,0.644927536231884,0.011955911759192845,2,0.6618357487922706
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,4,1.0,0.6932367149758454,0.008539936970852022,2,0.7342995169082126
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,4,0.25,0.6763285024154589,0.017079873941704043,2,0.6183574879227053
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,4,0.1,0.6497584541062802,0.022203836124215278,2,0.6618357487922706
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,6,1.0,0.7294685990338164,0.017079873941704043,2,0.7342995169082126
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,6,0.25,0.6908212560386473,0.006831949576681609,2,0.6183574879227053
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,6,0.1,0.6038647342995169,0.047823647036771305,2,0.6618357487922706
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,8,1.0,0.7294685990338163,0.010247924365022433,2,0.7342995169082126
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,8,0.25,0.6690821256038647,0.001707987394170412,2,0.6183574879227053
EC07396CE23248F2855499612FEB8ACA-019e9464-92a5-7d10-b713-7022c5b049fc-019e8386-74e7-7359-827b-6b4e4bc47db9-2026-06-04T20-48-16-501Z-olib.json,8,0.1,0.6328502415458938,0.017079873941704043,2,0.6618357487922706
